Score,title,abstract,paperId
100.000%,MERT: Acoustic Music Understanding Model with Large-Scale Self-supervised Training,"Self-supervised learning (SSL) has recently emerged as a promising paradigm
for training generalisable models on large-scale data in the fields of vision,
text, and speech. Although SSL has been proven effective in speech and audio,
its application to music audio has yet to be thoroughly explored. This is
partially due to the distinctive challenges associated with modelling musical
knowledge, particularly tonal and pitched characteristics of music. To address
this research gap, we propose an acoustic Music undERstanding model with
large-scale self-supervised Training (MERT), which incorporates teacher models
to provide pseudo labels in the masked language modelling (MLM) style acoustic
pre-training. In our exploration, we identified an effective combination of
teacher models, which outperforms conventional speech and audio approaches in
terms of performance. This combination includes an acoustic teacher based on
Residual Vector Quantisation - Variational AutoEncoder (RVQ-VAE) and a musical
teacher based on the Constant-Q Transform (CQT). Furthermore, we explore a wide
range of settings to overcome the instability in acoustic language model
pre-training, which allows our designed paradigm to scale from 95M to 330M
parameters. Experimental results indicate that our model can generalise and
perform well on 14 music understanding tasks and attain state-of-the-art (SOTA)
overall scores.",fb08b08916caab4b22c60fa96753f6b9a5886d75
100.000%,DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,"Recent advancements in music large language models (LLMs) have significantly
improved music understanding tasks, which involve the model's ability to
analyze and interpret various musical elements. These improvements primarily
focused on integrating both music and text inputs. However, the potential of
incorporating additional modalities such as images, videos and textual music
features to enhance music understanding remains unexplored. To bridge this gap,
we propose DeepResonance, a multimodal music understanding LLM fine-tuned via
multi-way instruction tuning with multi-way aligned music, text, image, and
video data. To this end, we construct Music4way-MI2T, Music4way-MV2T, and
Music4way-Any2T, three 4-way training and evaluation datasets designed to
enable DeepResonance to integrate both visual and textual music feature
content. We also introduce multi-sampled ImageBind embeddings and a
pre-alignment Transformer to enhance modality fusion prior to input into text
LLMs, tailoring DeepResonance for multi-way instruction tuning. Our model
achieves state-of-the-art performances across six music understanding tasks,
highlighting the benefits of the auxiliary modalities and the structural
superiority of DeepResonance. We plan to open-source the models and the newly
constructed datasets.",9285236ce6878605777a48865862a99fc740a022
100.000%,Music Understanding LLaMA: Advancing Text-to-Music Generation with Question Answering and Captioning,"Text-to-music generation (T2M-Gen) faces a major obstacle due to the scarcity
of large-scale publicly available music datasets with natural language
captions. To address this, we propose the Music Understanding LLaMA (MU-LLaMA),
capable of answering music-related questions and generating captions for music
files. Our model utilizes audio representations from a pretrained MERT model to
extract music features. However, obtaining a suitable dataset for training the
MU-LLaMA model remains challenging, as existing publicly accessible audio
question answering datasets lack the necessary depth for open-ended music
question answering. To fill this gap, we present a methodology for generating
question-answer pairs from existing audio captioning datasets and introduce the
MusicQA Dataset designed for answering open-ended music-related questions. The
experiments demonstrate that the proposed MU-LLaMA model, trained on our
designed MusicQA dataset, achieves outstanding performance in both music
question answering and music caption generation across various metrics,
outperforming current state-of-the-art (SOTA) models in both fields and
offering a promising advancement in the T2M-Gen research field.",a33b437618be733fea7176bd98e18b6362af0838
100.000%,FUTGA: Towards Fine-grained Music Understanding through Temporally-enhanced Generative Augmentation,"Existing music captioning methods are limited to generating concise global
descriptions of short music clips, which fail to capture fine-grained musical
characteristics and time-aware musical changes. To address these limitations,
we propose FUTGA, a model equipped with fined-grained music understanding
capabilities through learning from generative augmentation with temporal
compositions. We leverage existing music caption datasets and large language
models (LLMs) to synthesize fine-grained music captions with structural
descriptions and time boundaries for full-length songs. Augmented by the
proposed synthetic dataset, FUTGA is enabled to identify the music's temporal
changes at key transition points and their musical functions, as well as
generate detailed descriptions for each music segment. We further introduce a
full-length music caption dataset generated by FUTGA, as the augmentation of
the MusicCaps and the Song Describer datasets. We evaluate the automatically
generated captions on several downstream tasks, including music generation and
retrieval. The experiments demonstrate the quality of the generated captions
and the better performance in various downstream tasks achieved by the proposed
music captioning approach. Our code and datasets can be found in
\href{https://huggingface.co/JoshuaW1997/FUTGA}{\textcolor{blue}{https://huggingface.co/JoshuaW1997/FUTGA}}.",6d3fc8e404ba36aa497b01ce5f3c81ea3f362c24
100.000%,NOTA: Multimodal Music Notation Understanding for Visual Large Language Model,"Symbolic music is represented in two distinct forms: two-dimensional,
visually intuitive score images, and one-dimensional, standardized text
annotation sequences. While large language models have shown extraordinary
potential in music, current research has primarily focused on unimodal symbol
sequence text. Existing general-domain visual language models still lack the
ability of music notation understanding. Recognizing this gap, we propose NOTA,
the first large-scale comprehensive multimodal music notation dataset. It
consists of 1,019,237 records, from 3 regions of the world, and contains 3
tasks. Based on the dataset, we trained NotaGPT, a music notation visual large
language model. Specifically, we involve a pre-alignment training phase for
cross-modal alignment between the musical notes depicted in music score images
and their textual representation in ABC notation. Subsequent training phases
focus on foundational music information extraction, followed by training on
music notation analysis. Experimental results demonstrate that our NotaGPT-7B
achieves significant improvement on music understanding, showcasing the
effectiveness of NOTA and the training pipeline. Our datasets are open-sourced
at https://huggingface.co/datasets/MYTH-Lab/NOTA-dataset.",0688b8b7a17d7804a6aaf7d6f792b1498bd05b71
100.000%,MuMu-LLaMA: Multi-modal Music Understanding and Generation via Large Language Models,"Research on large language models has advanced significantly across text,
speech, images, and videos. However, multi-modal music understanding and
generation remain underexplored due to the lack of well-annotated datasets. To
address this, we introduce a dataset with 167.69 hours of multi-modal data,
including text, images, videos, and music annotations. Based on this dataset,
we propose MuMu-LLaMA, a model that leverages pre-trained encoders for music,
images, and videos. For music generation, we integrate AudioLDM 2 and MusicGen.
Our evaluation across four tasks--music understanding, text-to-music
generation, prompt-based music editing, and multi-modal music
generation--demonstrates that MuMu-LLaMA outperforms state-of-the-art models,
showing its potential for multi-modal music applications.",706ebfd55431321d65e07720ed5337120efdbbef
100.000%,LP-MusicCaps: LLM-Based Pseudo Music Captioning,"Automatic music captioning, which generates natural language descriptions for
given music tracks, holds significant potential for enhancing the understanding
and organization of large volumes of musical data. Despite its importance,
researchers face challenges due to the costly and time-consuming collection
process of existing music-language datasets, which are limited in size. To
address this data scarcity issue, we propose the use of large language models
(LLMs) to artificially generate the description sentences from large-scale tag
datasets. This results in approximately 2.2M captions paired with 0.5M audio
clips. We term it Large Language Model based Pseudo music caption dataset,
shortly, LP-MusicCaps. We conduct a systemic evaluation of the large-scale
music captioning dataset with various quantitative evaluation metrics used in
the field of natural language processing as well as human evaluation. In
addition, we trained a transformer-based music captioning model with the
dataset and evaluated it under zero-shot and transfer-learning settings. The
results demonstrate that our proposed approach outperforms the supervised
baseline model.",ce9c0935c074a0ca8769f13fd4e8651cee263112
100.000%,LLaQo: Towards a Query-Based Coach in Expressive Music Performance Assessment,"Research in music understanding has extensively explored composition-level
attributes such as key, genre, and instrumentation through advanced
representations, leading to cross-modal applications using large language
models. However, aspects of musical performance such as stylistic expression
and technique remain underexplored, along with the potential of using large
language models to enhance educational outcomes with customized feedback. To
bridge this gap, we introduce LLaQo, a Large Language Query-based music coach
that leverages audio language modeling to provide detailed and formative
assessments of music performances. We also introduce instruction-tuned
query-response datasets that cover a variety of performance dimensions from
pitch accuracy to articulation, as well as contextual performance understanding
(such as difficulty and performance techniques). Utilizing AudioMAE encoder and
Vicuna-7b LLM backend, our model achieved state-of-the-art (SOTA) results in
predicting teachers' performance ratings, as well as in identifying piece
difficulty and playing techniques. Textual responses from LLaQo was moreover
rated significantly higher compared to other baseline models in a user study
using audio-text matching. Our proposed model can thus provide informative
answers to open-ended questions related to musical performance from audio data.",dfebaac3142558ba1be1ad1c2643bff4524a10ce
100.000%,MuChoMusic: Evaluating Music Understanding in Multimodal Audio-Language Models,"Multimodal models that jointly process audio and language hold great promise
in audio understanding and are increasingly being adopted in the music domain.
By allowing users to query via text and obtain information about a given audio
input, these models have the potential to enable a variety of music
understanding tasks via language-based interfaces. However, their evaluation
poses considerable challenges, and it remains unclear how to effectively assess
their ability to correctly interpret music-related inputs with current methods.
Motivated by this, we introduce MuChoMusic, a benchmark for evaluating music
understanding in multimodal language models focused on audio. MuChoMusic
comprises 1,187 multiple-choice questions, all validated by human annotators,
on 644 music tracks sourced from two publicly available music datasets, and
covering a wide variety of genres. Questions in the benchmark are crafted to
assess knowledge and reasoning abilities across several dimensions that cover
fundamental musical concepts and their relation to cultural and functional
contexts. Through the holistic analysis afforded by the benchmark, we evaluate
five open-source models and identify several pitfalls, including an
over-reliance on the language modality, pointing to a need for better
multimodal integration. Data and code are open-sourced.",42e02d1b10408ed81396f47c17ab3faf17964468
100.000%,Audio Dialogues: Dialogues dataset for audio and music understanding,"Existing datasets for audio understanding primarily focus on single-turn
interactions (i.e. audio captioning, audio question answering) for describing
audio in natural language, thus limiting understanding audio via interactive
dialogue. To address this gap, we introduce Audio Dialogues: a multi-turn
dialogue dataset containing 163.8k samples for general audio sounds and music.
In addition to dialogues, Audio Dialogues also has question-answer pairs to
understand and compare multiple input audios together. Audio Dialogues
leverages a prompting-based approach and caption annotations from existing
datasets to generate multi-turn dialogues using a Large Language Model (LLM).
We evaluate existing audio-augmented large language models on our proposed
dataset to demonstrate the complexity and applicability of Audio Dialogues. Our
code for generating the dataset will be made publicly available. Detailed
prompts and generated dialogues can be found on the demo website
https://audiodialogues.github.io/.",6a0bc537f91fc21ee101dcb3688ea99f7b772c43
